origin,destination,reachable,distance_miles,travel_days,freight_gp_per_100_lb,leg_count,uses_inferred,path,leg_modes,leg_connections
Ruathym,Red Larch,True,785.158264,12.681303,2.116156,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Red Larch,sea -> sea -> sea -> sea -> river+road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Dessarin
Ruathym,Ruathym,True,0,0,0,0,False,Ruathym,,
Ruathym,Secomber,True,924.062652,20.903356,3.494763,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Secomber,sea -> sea -> sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Delimbiyr Route
Secomber,Waterdeep,True,248.063218,12.159962,2.066221,1,False,Secomber -> Waterdeep,road,The Delimbiyr Route
Secomber,Amphail,True,337.72106,15.556092,2.613949,2,False,Secomber -> Waterdeep -> Amphail,road -> road,The Delimbiyr Route -> The Long Road
Secomber,Baldur's Gate,True,714.731173,17.561211,2.851273,2,False,Secomber -> Waterdeep -> Baldur's Gate,road -> sea,The Delimbiyr Route -> The Sword Coast Run
Secomber,Caer Calidyrr,True,775.520894,19.871331,3.249101,3,False,Secomber -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> sea -> sea,The Delimbiyr Route -> Sea of Swords coasting run -> Sea of Swords coasting run
Secomber,Daggerford,True,161.176084,10.406514,2.058022,1,False,Secomber -> Daggerford,river+portage,The Delimbiyr
Secomber,Goldenfields,True,198.928872,14.957058,2.778553,1,False,Secomber -> Goldenfields,trail,Red Larch and Goldenfields branch toward Secomber
Secomber,Leilon,True,585.273165,18.034315,3.007299,3,False,Secomber -> Waterdeep -> Neverwinter -> Leilon,road -> sea -> road,The Delimbiyr Route -> The Sword Coast Run -> The High Road
Secomber,Mintarn,True,617.313404,17.558356,2.888638,2,False,Secomber -> Waterdeep -> Mintarn,road -> sea,The Delimbiyr Route -> Sea of Swords coasting run
Secomber,Neverwinter,True,494.669888,15.014206,2.481075,2,False,Secomber -> Waterdeep -> Neverwinter,road -> sea,The Delimbiyr Route -> The Sword Coast Run
Secomber,Orlumbor,True,516.404642,15.886926,2.620963,2,False,Secomber -> Waterdeep -> Orlumbor,road -> sea,The Delimbiyr Route -> The Nelanther Passage
Secomber,Red Larch,True,357.222047,16.09787,2.753835,2,False,Secomber -> Waterdeep -> Red Larch,road -> river+road,The Delimbiyr Route -> The Dessarin
Secomber,Ruathym,True,924.062652,20.903356,3.494763,5,False,Secomber -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> sea -> sea -> sea -> sea,The Delimbiyr Route -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
Secomber,Secomber,True,0,0,0,0,False,Secomber,,
