option_id,selection,connections,origin,destination,reachable,distance_miles,travel_days,freight_gp_per_100_lb,leg_count,uses_inferred,path,leg_modes,leg_connections
OPT-0122,Fastest; Lowest freight; Water only,2,Neverwinter,Caer Calidyrr,True,774.064347,10.565613,1.597735,3,False,Neverwinter -> Waterdeep -> Mintarn -> Caer Calidyrr,sea -> sea -> sea,The Sword Coast Run -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0123,Fastest; Lowest freight,1,Neverwinter,Daggerford,True,375.011086,6.96977,1.096385,2,False,Neverwinter -> Waterdeep -> Daggerford,sea -> road,The Sword Coast Run -> The Trade Way
OPT-0124,Land only,2,Neverwinter,Daggerford,True,451.224168,14.876185,2.506309,3,False,Neverwinter -> Leilon -> Waterdeep -> Daggerford,road -> road -> road,The High Road -> The High Road -> The Trade Way
OPT-0125,Fastest; Lowest freight,2,Neverwinter,Goldenfields,True,387.528816,8.76333,1.3733,3,False,Neverwinter -> Waterdeep -> Amphail -> Goldenfields,sea -> road -> road,The Sword Coast Run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0126,Land only,3,Neverwinter,Goldenfields,True,463.741898,16.669745,2.783224,4,False,Neverwinter -> Leilon -> Waterdeep -> Amphail -> Goldenfields,road -> road -> road -> road,The High Road -> The High Road -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0127,Fastest; Lowest freight; Land only,0,Neverwinter,Leilon,True,90.603276,3.020109,0.526224,1,False,Neverwinter -> Leilon,road,The High Road
OPT-0128,Fastest; Lowest freight; Water only,1,Neverwinter,Mintarn,True,615.856857,8.252638,1.237271,2,False,Neverwinter -> Waterdeep -> Mintarn,sea -> sea,The Sword Coast Run -> Sea of Swords coasting run
OPT-0129,Fastest; Lowest freight; Water only,1,Neverwinter,Orlumbor,True,514.948095,6.581208,0.969596,2,False,Neverwinter -> Waterdeep -> Orlumbor,sea -> sea,The Sword Coast Run -> The Nelanther Passage
OPT-0130,Fastest; Lowest freight,1,Neverwinter,Red Larch,True,355.7655,6.792153,1.102468,2,False,Neverwinter -> Waterdeep -> Red Larch,sea -> river+road,The Sword Coast Run -> The Dessarin
OPT-0131,Land only,2,Neverwinter,Red Larch,True,262.958874,15.765342,3.276579,3,True,Neverwinter -> Leilon -> Phandalin -> Red Larch,road -> track -> track,The High Road -> caravan track -> caravan track
OPT-0132,Fastest; Water only,2,Neverwinter,Ruathym,True,429.392764,5.889151,1.013688,3,False,Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea,The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0133,Lowest freight,0,Neverwinter,Ruathym,True,404.599011,5.91519,0.952895,1,False,Neverwinter -> Ruathym,sea,Sea of Swords coasting run
OPT-0134,Fastest; Lowest freight,1,Neverwinter,Secomber,True,494.669888,15.014206,2.481075,2,False,Neverwinter -> Waterdeep -> Secomber,sea -> road,The Sword Coast Run -> The Delimbiyr Route
OPT-0135,Land only,2,Neverwinter,Secomber,True,570.88297,22.92062,3.890999,3,False,Neverwinter -> Leilon -> Waterdeep -> Secomber,road -> road -> road,The High Road -> The High Road -> The Delimbiyr Route
OPT-0136,Fastest; Lowest freight; Water only,0,Neverwinter,Waterdeep,True,246.606671,2.854244,0.414854,1,False,Neverwinter -> Waterdeep,sea,The Sword Coast Run
OPT-0137,Land only,1,Neverwinter,Waterdeep,True,322.819752,10.760658,1.824778,2,False,Neverwinter -> Leilon -> Waterdeep,road -> road,The High Road -> The High Road
OPT-0138,Fastest; Lowest freight,1,Orlumbor,Amphail,True,357.999267,7.123095,1.10247,2,False,Orlumbor -> Waterdeep -> Amphail,sea -> road,The Nelanther Passage -> The Long Road
OPT-0139,Fastest; Lowest freight; Water only,0,Orlumbor,Baldur's Gate,True,203.807802,2.979646,0.459147,1,False,Orlumbor -> Baldur's Gate,sea,Sea of Swords coasting run
OPT-0140,Fastest; Lowest freight; Water only,1,Orlumbor,Caer Calidyrr,True,368.309228,5.231055,0.830545,2,False,Orlumbor -> Mintarn -> Caer Calidyrr,sea -> sea,The Nelanther Passage -> Sea of Swords coasting run
OPT-0141,Fastest; Lowest freight,1,Orlumbor,Daggerford,True,396.74584,7.84249,1.236273,2,False,Orlumbor -> Waterdeep -> Daggerford,sea -> road,The Nelanther Passage -> The Trade Way
OPT-0142,Fastest; Lowest freight,2,Orlumbor,Goldenfields,True,409.26357,9.636051,1.513188,3,False,Orlumbor -> Waterdeep -> Amphail -> Goldenfields,sea -> road -> road,The Nelanther Passage -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0143,Fastest; Lowest freight,2,Orlumbor,Leilon,True,605.551371,9.601317,1.49582,3,False,Orlumbor -> Waterdeep -> Neverwinter -> Leilon,sea -> sea -> road,The Nelanther Passage -> The Sword Coast Run -> The High Road
OPT-0144,Fastest; Lowest freight; Water only,0,Orlumbor,Mintarn,True,210.101737,2.91808,0.470082,1,False,Orlumbor -> Mintarn,sea,The Nelanther Passage
OPT-0145,Fastest; Lowest freight; Water only,1,Orlumbor,Neverwinter,True,514.948095,6.581208,0.969596,2,False,Orlumbor -> Waterdeep -> Neverwinter,sea -> sea,The Nelanther Passage -> The Sword Coast Run
OPT-0146,Fastest; Lowest freight,1,Orlumbor,Red Larch,True,377.500254,7.664873,1.242356,2,False,Orlumbor -> Waterdeep -> Red Larch,sea -> river+road,The Nelanther Passage -> The Dessarin
OPT-0147,Fastest; Water only,4,Orlumbor,Ruathym,True,944.340859,12.470359,1.983285,5,False,Orlumbor -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea -> sea -> sea,The Nelanther Passage -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0148,Lowest freight,2,Orlumbor,Ruathym,True,919.547106,12.496398,1.922491,3,False,Orlumbor -> Waterdeep -> Neverwinter -> Ruathym,sea -> sea -> sea,The Nelanther Passage -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0149,Fastest; Lowest freight,1,Orlumbor,Secomber,True,516.404642,15.886926,2.620963,2,False,Orlumbor -> Waterdeep -> Secomber,sea -> road,The Nelanther Passage -> The Delimbiyr Route
OPT-0150,Fastest; Lowest freight; Water only,0,Orlumbor,Waterdeep,True,268.341424,3.726964,0.554742,1,False,Orlumbor -> Waterdeep,sea,The Nelanther Passage
OPT-0151,Fastest; Lowest freight; Land only,0,Red Larch,Amphail,True,47.614476,1.803579,0.31036,1,False,Red Larch -> Amphail,road,The Long Road
OPT-0152,Fastest; Lowest freight,1,Red Larch,Baldur's Gate,True,575.826784,9.339158,1.472666,2,False,Red Larch -> Waterdeep -> Baldur's Gate,river+road -> sea,The Dessarin -> The Sword Coast Run
OPT-0153,Land only,3,Red Larch,Baldur's Gate,True,781.658717,25.853119,4.385458,4,False,Red Larch -> Amphail -> Waterdeep -> Daggerford -> Baldur's Gate,road -> road -> road -> road,The Long Road -> The Long Road -> The Trade Way -> The Trade Way
OPT-0154,Fastest; Lowest freight,2,Red Larch,Caer Calidyrr,True,636.616506,11.649278,1.870495,3,False,Red Larch -> Waterdeep -> Mintarn -> Caer Calidyrr,river+road -> sea -> sea,The Dessarin -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0155,Fastest; Lowest freight,1,Red Larch,Daggerford,True,237.563245,8.053435,1.369145,2,False,Red Larch -> Waterdeep -> Daggerford,river+road -> road,The Dessarin -> The Trade Way
OPT-0156,Land only,2,Red Larch,Daggerford,True,265.676734,9.315235,1.539619,3,False,Red Larch -> Amphail -> Waterdeep -> Daggerford,road -> road -> road,The Long Road -> The Long Road -> The Trade Way
OPT-0157,Fastest; Lowest freight; Land only,0,Red Larch,Goldenfields,True,52.719778,2.584303,0.439125,1,False,Red Larch -> Goldenfields,road,Long Road: Mirabar to Waterdeep
OPT-0158,Fastest; Lowest freight,2,Red Larch,Leilon,True,446.368776,9.812262,1.628692,3,False,Red Larch -> Waterdeep -> Neverwinter -> Leilon,river+road -> sea -> road,The Dessarin -> The Sword Coast Run -> The High Road
OPT-0159,Land only,1,Red Larch,Leilon,True,172.355598,12.745233,2.750355,2,True,Red Larch -> Phandalin -> Leilon,track -> track,caravan track -> caravan track
OPT-0160,Fastest; Lowest freight,1,Red Larch,Mintarn,True,478.409015,9.336303,1.510031,2,False,Red Larch -> Waterdeep -> Mintarn,river+road -> sea,The Dessarin -> Sea of Swords coasting run
OPT-0161,Fastest; Lowest freight,1,Red Larch,Neverwinter,True,355.7655,6.792153,1.102468,2,False,Red Larch -> Waterdeep -> Neverwinter,river+road -> sea,The Dessarin -> The Sword Coast Run
OPT-0162,Land only,2,Red Larch,Neverwinter,True,262.958874,15.765342,3.276579,3,True,Red Larch -> Phandalin -> Leilon -> Neverwinter,track -> track -> road,caravan track -> caravan track -> The High Road
OPT-0163,Fastest; Lowest freight,1,Red Larch,Orlumbor,True,377.500254,7.664873,1.242356,2,False,Red Larch -> Waterdeep -> Orlumbor,river+road -> sea,The Dessarin -> The Nelanther Passage
OPT-0164,Fastest,4,Red Larch,Ruathym,True,785.158264,12.681303,2.116156,5,False,Red Larch -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,river+road -> sea -> sea -> sea -> sea,The Dessarin -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0165,Lowest freight,2,Red Larch,Ruathym,True,760.364511,12.707343,2.055363,3,False,Red Larch -> Waterdeep -> Neverwinter -> Ruathym,river+road -> sea -> sea,The Dessarin -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0166,Fastest; Lowest freight,1,Red Larch,Secomber,True,357.222047,16.09787,2.753835,2,False,Red Larch -> Waterdeep -> Secomber,river+road -> road,The Dessarin -> The Delimbiyr Route
OPT-0167,Land only,2,Red Larch,Secomber,True,385.335536,17.359671,2.924308,3,False,Red Larch -> Amphail -> Waterdeep -> Secomber,road -> road -> road,The Long Road -> The Long Road -> The Delimbiyr Route
OPT-0168,Fastest; Lowest freight,0,Red Larch,Waterdeep,True,109.158829,3.937909,0.687614,1,False,Red Larch -> Waterdeep,river+road,The Dessarin
OPT-0169,Land only,1,Red Larch,Waterdeep,True,137.272319,5.199709,0.858088,2,False,Red Larch -> Amphail -> Waterdeep,road -> road,The Long Road -> The Long Road
OPT-0170,Fastest,4,Ruathym,Amphail,True,765.657277,12.139525,1.97627,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Amphail,sea -> sea -> sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Long Road
OPT-0171,Lowest freight,2,Ruathym,Amphail,True,740.863524,12.165564,1.915477,3,False,Ruathym -> Neverwinter -> Waterdeep -> Amphail,sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Long Road
OPT-0172,Fastest; Water only,4,Ruathym,Baldur's Gate,True,1142.667389,14.144644,2.213595,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Baldur's Gate,sea -> sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run
OPT-0173,Lowest freight,2,Ruathym,Baldur's Gate,True,1117.873637,14.170684,2.152801,3,False,Ruathym -> Neverwinter -> Waterdeep -> Baldur's Gate,sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run
OPT-0174,Fastest; Water only,5,Ruathym,Caer Calidyrr,True,1203.457111,16.454764,2.611423,6,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Mintarn -> Caer Calidyrr,sea -> sea -> sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0175,Lowest freight,3,Ruathym,Caer Calidyrr,True,1178.663359,16.480804,2.550629,4,False,Ruathym -> Neverwinter -> Waterdeep -> Mintarn -> Caer Calidyrr,sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0176,Fastest,4,Ruathym,Daggerford,True,804.40385,12.858921,2.110074,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Daggerford,sea -> sea -> sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Trade Way
OPT-0177,Lowest freight,2,Ruathym,Daggerford,True,779.610097,12.88496,2.04928,3,False,Ruathym -> Neverwinter -> Waterdeep -> Daggerford,sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Trade Way
OPT-0178,Fastest,5,Ruathym,Goldenfields,True,816.92158,14.652481,2.386988,6,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Amphail -> Goldenfields,sea -> sea -> sea -> sea -> road -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0179,Lowest freight,3,Ruathym,Goldenfields,True,792.127827,14.678521,2.326194,4,False,Ruathym -> Neverwinter -> Waterdeep -> Amphail -> Goldenfields,sea -> sea -> road -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0180,Fastest,3,Ruathym,Leilon,True,519.99604,8.90926,1.539912,4,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Leilon,sea -> sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The High Road
OPT-0181,Lowest freight,1,Ruathym,Leilon,True,495.202288,8.935299,1.479118,2,False,Ruathym -> Neverwinter -> Leilon,sea -> road,Sea of Swords coasting run -> The High Road
OPT-0182,Fastest; Water only,4,Ruathym,Mintarn,True,1045.249621,14.141789,2.25096,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Mintarn,sea -> sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0183,Lowest freight,2,Ruathym,Mintarn,True,1020.455868,14.167829,2.190166,3,False,Ruathym -> Neverwinter -> Waterdeep -> Mintarn,sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0184,Fastest; Water only,2,Ruathym,Neverwinter,True,429.392764,5.889151,1.013688,3,False,Ruathym -> Luskan -> Port Llast -> Neverwinter,sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run
OPT-0185,Lowest freight,0,Ruathym,Neverwinter,True,404.599011,5.91519,0.952895,1,False,Ruathym -> Neverwinter,sea,Sea of Swords coasting run
OPT-0186,Fastest; Water only,4,Ruathym,Orlumbor,True,944.340859,12.470359,1.983285,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Orlumbor,sea -> sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Nelanther Passage
OPT-0187,Lowest freight,2,Ruathym,Orlumbor,True,919.547106,12.496398,1.922491,3,False,Ruathym -> Neverwinter -> Waterdeep -> Orlumbor,sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Nelanther Passage
OPT-0188,Fastest,4,Ruathym,Red Larch,True,785.158264,12.681303,2.116156,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Red Larch,sea -> sea -> sea -> sea -> river+road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Dessarin
OPT-0189,Lowest freight,2,Ruathym,Red Larch,True,760.364511,12.707343,2.055363,3,False,Ruathym -> Neverwinter -> Waterdeep -> Red Larch,sea -> sea -> river+road,Sea of Swords coasting run -> The Sword Coast Run -> The Dessarin
OPT-0190,Fastest,4,Ruathym,Secomber,True,924.062652,20.903356,3.494763,5,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep -> Secomber,sea -> sea -> sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Delimbiyr Route
OPT-0191,Lowest freight,2,Ruathym,Secomber,True,899.2689,20.929396,3.433969,3,False,Ruathym -> Neverwinter -> Waterdeep -> Secomber,sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The Delimbiyr Route
OPT-0192,Fastest; Water only,3,Ruathym,Waterdeep,True,675.999434,8.743394,1.428542,4,False,Ruathym -> Luskan -> Port Llast -> Neverwinter -> Waterdeep,sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run
OPT-0193,Lowest freight,1,Ruathym,Waterdeep,True,651.205682,8.769434,1.367749,2,False,Ruathym -> Neverwinter -> Waterdeep,sea -> sea,Sea of Swords coasting run -> The Sword Coast Run
OPT-0194,Fastest; Lowest freight; Land only,1,Secomber,Amphail,True,337.72106,15.556092,2.613949,2,False,Secomber -> Waterdeep -> Amphail,road -> road,The Delimbiyr Route -> The Long Road
OPT-0195,Fastest; Lowest freight,1,Secomber,Baldur's Gate,True,714.731173,17.561211,2.851273,2,False,Secomber -> Waterdeep -> Baldur's Gate,road -> sea,The Delimbiyr Route -> The Sword Coast Run
OPT-0196,Land only,2,Secomber,Baldur's Gate,True,892.449616,32.813372,5.593591,3,False,Secomber -> Waterdeep -> Daggerford -> Baldur's Gate,road -> road -> road,The Delimbiyr Route -> The Trade Way -> The Trade Way
OPT-0197,Fastest; Lowest freight,2,Secomber,Caer Calidyrr,True,775.520894,19.871331,3.249101,3,False,Secomber -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> sea -> sea,The Delimbiyr Route -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0198,Fastest; Lowest freight,0,Secomber,Daggerford,True,161.176084,10.406514,2.058022,1,False,Secomber -> Daggerford,river+portage,The Delimbiyr
OPT-0199,Land only,1,Secomber,Daggerford,True,376.467633,16.275488,2.747752,2,False,Secomber -> Waterdeep -> Daggerford,road -> road,The Delimbiyr Route -> The Trade Way
OPT-0200,Fastest; Lowest freight; Land only,0,Secomber,Goldenfields,True,198.928872,14.957058,2.778553,1,False,Secomber -> Goldenfields,trail,Red Larch and Goldenfields branch toward Secomber
OPT-0201,Fastest; Lowest freight,2,Secomber,Leilon,True,585.273165,18.034315,3.007299,3,False,Secomber -> Waterdeep -> Neverwinter -> Leilon,road -> sea -> road,The Delimbiyr Route -> The Sword Coast Run -> The High Road
OPT-0202,Land only,1,Secomber,Leilon,True,480.279694,19.900511,3.364775,2,False,Secomber -> Waterdeep -> Leilon,road -> road,The Delimbiyr Route -> The High Road
OPT-0203,Fastest; Lowest freight,1,Secomber,Mintarn,True,617.313404,17.558356,2.888638,2,False,Secomber -> Waterdeep -> Mintarn,road -> sea,The Delimbiyr Route -> Sea of Swords coasting run
OPT-0204,Fastest; Lowest freight,1,Secomber,Neverwinter,True,494.669888,15.014206,2.481075,2,False,Secomber -> Waterdeep -> Neverwinter,road -> sea,The Delimbiyr Route -> The Sword Coast Run
OPT-0205,Land only,2,Secomber,Neverwinter,True,570.88297,22.92062,3.890999,3,False,Secomber -> Waterdeep -> Leilon -> Neverwinter,road -> road -> road,The Delimbiyr Route -> The High Road -> The High Road
OPT-0206,Fastest; Lowest freight,1,Secomber,Orlumbor,True,516.404642,15.886926,2.620963,2,False,Secomber -> Waterdeep -> Orlumbor,road -> sea,The Delimbiyr Route -> The Nelanther Passage
OPT-0207,Fastest; Lowest freight,1,Secomber,Red Larch,True,357.222047,16.09787,2.753835,2,False,Secomber -> Waterdeep -> Red Larch,road -> river+road,The Delimbiyr Route -> The Dessarin
OPT-0208,Land only,2,Secomber,Red Larch,True,385.335536,17.359671,2.924308,3,False,Secomber -> Waterdeep -> Amphail -> Red Larch,road -> road -> road,The Delimbiyr Route -> The Long Road -> The Long Road
OPT-0209,Fastest,4,Secomber,Ruathym,True,924.062652,20.903356,3.494763,5,False,Secomber -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> sea -> sea -> sea -> sea,The Delimbiyr Route -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0210,Lowest freight,2,Secomber,Ruathym,True,899.2689,20.929396,3.433969,3,False,Secomber -> Waterdeep -> Neverwinter -> Ruathym,road -> sea -> sea,The Delimbiyr Route -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0211,Fastest; Lowest freight; Land only,0,Secomber,Waterdeep,True,248.063218,12.159962,2.066221,1,False,Secomber -> Waterdeep,road,The Delimbiyr Route
OPT-0212,Fastest; Lowest freight; Land only,0,Waterdeep,Amphail,True,89.657842,3.39613,0.547728,1,False,Waterdeep -> Amphail,road,The Long Road
OPT-0213,Fastest; Lowest freight; Water only,0,Waterdeep,Baldur's Gate,True,466.667955,5.401249,0.785052,1,False,Waterdeep -> Baldur's Gate,sea,The Sword Coast Run
OPT-0214,Land only,1,Waterdeep,Baldur's Gate,True,644.386398,20.65341,3.52737,2,False,Waterdeep -> Daggerford -> Baldur's Gate,road -> road,The Trade Way -> The Trade Way
OPT-0215,Fastest; Lowest freight; Water only,1,Waterdeep,Caer Calidyrr,True,527.457677,7.71137,1.182881,2,False,Waterdeep -> Mintarn -> Caer Calidyrr,sea -> sea,Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0216,Fastest; Lowest freight; Land only,0,Waterdeep,Daggerford,True,128.404415,4.115526,0.681531,1,False,Waterdeep -> Daggerford,road,The Trade Way
OPT-0217,Fastest; Lowest freight; Land only,1,Waterdeep,Goldenfields,True,140.922145,5.909086,0.958445,2,False,Waterdeep -> Amphail -> Goldenfields,road -> road,The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0218,Fastest; Lowest freight,1,Waterdeep,Leilon,True,337.209947,5.874353,0.941078,2,False,Waterdeep -> Neverwinter -> Leilon,sea -> road,The Sword Coast Run -> The High Road
OPT-0219,Land only,0,Waterdeep,Leilon,True,232.216476,7.740549,1.298555,1,False,Waterdeep -> Leilon,road,The High Road
OPT-0220,Fastest; Lowest freight; Water only,0,Waterdeep,Mintarn,True,369.250186,5.398395,0.822417,1,False,Waterdeep -> Mintarn,sea,Sea of Swords coasting run
OPT-0221,Fastest; Lowest freight; Water only,0,Waterdeep,Neverwinter,True,246.606671,2.854244,0.414854,1,False,Waterdeep -> Neverwinter,sea,The Sword Coast Run
OPT-0222,Land only,1,Waterdeep,Neverwinter,True,322.819752,10.760658,1.824778,2,False,Waterdeep -> Leilon -> Neverwinter,road -> road,The High Road -> The High Road
OPT-0223,Fastest; Lowest freight; Water only,0,Waterdeep,Orlumbor,True,268.341424,3.726964,0.554742,1,False,Waterdeep -> Orlumbor,sea,The Nelanther Passage
OPT-0224,Fastest; Lowest freight,0,Waterdeep,Red Larch,True,109.158829,3.937909,0.687614,1,False,Waterdeep -> Red Larch,river+road,The Dessarin
OPT-0225,Land only,1,Waterdeep,Red Larch,True,137.272319,5.199709,0.858088,2,False,Waterdeep -> Amphail -> Red Larch,road -> road,The Long Road -> The Long Road
OPT-0226,Fastest; Water only,3,Waterdeep,Ruathym,True,675.999434,8.743394,1.428542,4,False,Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea -> sea,The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0227,Lowest freight,1,Waterdeep,Ruathym,True,651.205682,8.769434,1.367749,2,False,Waterdeep -> Neverwinter -> Ruathym,sea -> sea,The Sword Coast Run -> Sea of Swords coasting run
OPT-0228,Fastest; Lowest freight; Land only,0,Waterdeep,Secomber,True,248.063218,12.159962,2.066221,1,False,Waterdeep -> Secomber,road,The Delimbiyr Route
